Item No.,Item No. on PDCA,Car Maker,Car Model,Line,Findings,Items to Check/Action,Department,Person in Charge,Status,Target Date,,,
493,7,MAZDA,J78A-010,1143,No good location of jointed wires on down spout.,Request to modified/change the location of jointed wires.,PE-FABRICATION,,OPEN,,,,
494,10,MAZDA,J78A-010,1143,No reference for application of lubricant to Grommet.,Request to provide reference for application of lubricant,PE-BAE (ASSY DEV),,OPEN,,,,
495,11,MAZDA,J78A-010,1143,Reference of Good and NG is not included on OI at Grommet Process.,Request to include on OI,PE-BAE (ASSY DEV),,OPEN,,,,
496,12,MAZDA,J78A-010,1143,Missing/Lacking Bendable jig cover.,Request to provide jig cover.,ME-NPI (MPPD),,OPEN,,,,
497,13,MAZDA,J78A-010,1143,"SPIN color is not tally to the actual (Connectors 12, 169, 138, 148 & 155)",Request to provide Spin ,ME-NPI (MPPD),,OPEN,,,,
498,14,MAZDA,J78A-010,1143,YSOP not tally on conn. 43,Request to provide YSOP,ME-NPI (MPPD),,OPEN,,,,
499,16,MAZDA,J78A-010,1143,"No available spacer for Toridashi connector jig
 (Connectors 131, 322, 160 & 159)",Request to provide jig Toridashi,ME-NPI (MPPD),,OPEN,,,,
500,17,MAZDA,J78A-010,1143,Incomplete details of OI at assyboard,Request to update the OI,PE-BAE (ASSY DEV),,OPEN,,,,
501,18,MAZDA,J78A-010,1143,"OI at TBO process is not readable
(Japanese character)",Request to update the OI in English Character.,PE-BAE (ASSY DEV),,OPEN,,,,
502,19,MAZDA,J78A-010,1143,No provided Ebag at Assy process,Request to provide Ebag,PE-FABRICATION,,OPEN,,,,
503,20,MAZDA,J78A-010,1143,"Layout associates did not know the check items of nameplate (faded barcode, Dirty nameplate, etc.)",Request to conduct orientation for the check items of nameplate,PRODUCTION, C. Orense/ B. Awat,OPEN,,,,
504,7,DAIHATSU,D18B DOOR,2120,"Loose jigs on assyboard
(Assembly)",Request for the immediate repair of jigs to AME,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
505,8,DAIHATSU,D18B DOOR,2120,"Not updated  O.I. (all)
(Assembly)",Request to update and provide O.I.,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",OPEN,31-Jul-23,,,
506,9,DAIHATSU,D18B DOOR,2120,"Lacking bendable jig cover
(Assembly)",Request to provide bendable jig cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
507,10,DAIHATSU,D18B DOOR,2120,"No available vinyl cover for not applicable jig (connector 3).(all boards)
(Assembly)",Request to provide  connector jig cover,ME-Initial (Preparation),Donna,OPEN,31-Jul-23,,,
508,15,DAIHATSU,D18B DOOR,2120,Hardly taping of checker jig,Conduct orientation about proper taping of checker jig,QA-Final ,Shawn,OPEN,7-Aug-23,,,
509,18,DAIHATSU,D18B DOOR,2120,"Damaged checker jig (No wing)
DS-SG-5F-B/SSE-SB-3F-B/DS-WF-2F",Request for immediate repair  ,PE-BAE (Maintenance),Shawn,OPEN,7-Aug-23,,,
510,19,DAIHATSU,D18B DOOR,2120,Not fixed option tape box,Request to fix option box,PE-FABRICATION,,OPEN,,,,
511,20,DAIHATSU,D18B DOOR,2120,Associate did not check the grommet stamp,Conduct orientation on proper checking of grommet stamp,PE-EQ-FINAL,,For confirmation,,,,
512,21,DAIHATSU,D18B DOOR,2120,"Faded marking on alignment jig
(SSG-TP-14F)",Replacement of ink on alignment jig,PE-EQ-FINAL,,OPEN,18-Jul-23,,,
513,3,DAIHATSU,D18B ENGINE,2114,No Good condition of for relayout harness on sub hanger.,Request for improvement of sub hanger of relayout harness.,PE-FABRICATION,M. Carandang,OPEN,,,,
514,5,DAIHATSU,D18B ENGINE,2114,Lacking product label display on          sub-assy.,Provide product label for  other Sub PC Sub 1 to 4,PE-FABRICATION,M. Carandang,OPEN,,,,
515,10,DAIHATSU,D18B ENGINE,2114,"Lacking bendable jig cover
(Assembly)",Request to provide bendable jig cover,PE-BAE (Maintenance),Shawn,OPEN,TBA (For confirmation of budget),,,
516,11,DAIHATSU,D18B ENGINE,2114,"Loose jigs on assyboard
(Assembly)",Request for the immediate repair of jigs to AME,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
517,12,DAIHATSU,D18B ENGINE,2114,"Not updated OI
(All)",Request to update and provide O.I,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",OPEN,31-Jul-23,,,
518,13,DAIHATSU,D18B ENGINE,2114,Risk of wrong lay-out same connector (Lay-out),Request to provide attention note,ME-FIE-PE (FMEA),,OPEN,,,,
519,17,DAIHATSU,D18B ENGINE,2114,"SOT not tally on the actual  due 
new employee (Assembly)",Request for the updated SOT on assembly process/Compliance on following SOT,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",OPEN,31-Jul-23,,,
520,20,DAIHATSU,D18B ENGINE,2114,Broken jig on shiage board 2,Request for replacement of jig ,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
521,21,DAIHATSU,D18B ENGINE,2114,OI packing was posted on board and not visible for inspectors,Request to enlarge OI for packing and hang to appearance area.,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",OPEN,31-Jul-23,,,
522,22,DAIHATSU,D18B ENGINE,2114,Broken PC cover and checker jigs on ECT Board,Request to enlarge OI for packing and hang to appearance area.,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",OPEN,31-Jul-23,,,
523,23,DAIHATSU,D18B ENGINE,2114,No posted OI for option (Dimension 2),Request to provide OI for option,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",OPEN,31-Jul-23,,,
524,3,DAIHATSU,D83B,2109,"Damaged wire catcher
(Sub-assy)",Request for repair and replacement if needed,PE-FABRICATION,,OPEN,,,,
525,4,DAIHATSU,D83B,2109,"Worn out and no provided cover for joint of pipe
(Sub-assy)",Request to repair/provide vinyl cover on joint of pipe,PE-FABRICATION,,OPEN,,,,
526,2,DAIHATSU,"D54L/D83A
ENGINE",2117,Request to repair all sub assy wire catcher.,Repair sub assy wire catcher,PE-FABRICATION,,OPEN,,,,
527,3,DAIHATSU,"D54L/D83A
ENGINE",2117,Request to arrange the sequence of tupper box on parts shelves base on the sequence of one set supply box.,Re-arrange sequence of tupper box on component shelves,PRODUCTION,B. Cuenca,ONGOING,26-Jul-23,,,
528,4,DAIHATSU,"D54L/D83A
ENGINE",2117,Request to change the size of U-Jig to bigger size.,Replace u-jig with bigger size,PE-BAE (ASSY DEV),,OPEN,,,,
529,5,DAIHATSU,"D54L/D83A
ENGINE",2117,Requesting for the alignment of assy jig.,Alignment of Assy jig,PE-BAE (Maintenance),Shawn,OPEN,31-Jul-23,,,
530,6,DAIHATSU,"D54L/D83A
ENGINE",2117,Rquest to complete the work instruction on shiage board.,Provide complete OI on Shiage board,ME-NPI (MPPD),"RALPH/
CAMILLE/
CARLL",ONGOING,31-Jul-23,,,
531,7,DAIHATSU,"D54L/D83A
ENGINE",2117,Request to have option matrix box on option taping process.,Provide option matrix box on option taping process,PE-FABRICATION,,OPEN,,,,
532,11,SUZUKI,XF273,5015,"• Damaged Wire Catcher
• No Wire Catcher on Sub Hanger
• Wire not properly inserted on Catcher","Provide Wire Catcher on Sub Hanger
Re-orient associate on proper way of inserting wire on wire catcher",PE-FABRICATION,,OPEN,,,,
533,12,SUZUKI,XF273,5015,Connector Picture vs. Actual connector used was not tally on Sub PC,Provide the correct connector picture being used,PE-FABRICATION,,OPEN,,,,
534,15,SUZUKI,XF273,5015,"Same Connector on Sub PC
Sub 01, 05, 06
SSE-SB-6FA-B",Check if can provide Color Sensor,PE-EQ-FINAL,,OPEN,,,,
535,16,SUZUKI,XF273,5015,Misalign SDY Junction near Connector 109,Align SDY Junction near connector 109,PE-BAE (ASSY DEV),,OPEN,,,,
536,17,SUZUKI,XF273,5015,Loose Jig Connector 244,Fix loose Jig,PE-BAE (Maintenance),,OPEN,,,,
537,20,SUZUKI,XF273,5015,"No Good Pulling strength (Sub Assy)

TOLERANCE:
GOOD: (10-14N)
NO GOOD: (16-20N)

SUB 2, 8, 11, 3
SUB PC JIG G: 
GOOD: 16.2 (NG)
NO GOOD: 17.4 (GOOD)",Calibrate Connector Jig on Sub Assy jig,PE-EQ-FINAL,,OPEN,,,,
538,22,SUZUKI,XF273,5015,Lacking Tanmatsu Jig,Provide tanmatsu jig,PE-BAE (Maintenance),,OPEN,,,,
539,23,SUZUKI,XF273,5015,Lacking Lockset on some receiving jig,Provide Lockset,PE-BAE (Maintenance),,OPEN,,,,
540,24,SUZUKI,XF273,5015,Lacking Bendable Jig Cover,Provide Bendable Jig Cover,PE-BAE (Maintenance),,OPEN,,,,
541,25,SUZUKI,XF273,5015,Lacking YSOP & S-PIN,Provide YSOP & S-PIN,PE-BAE (Maintenance),,OPEN,,,,
542,26,SUZUKI,XF273,5015,Lacking spacer on Toridashi Jig,Provide spacer on toridashi jig,PE-BAE (Maintenance),,OPEN,,,,
543,28,SUZUKI,XF273,5015,'No-Ebag (For Request),Waiting for request,PRODUCTION,,OPEN,,,,
544,30,SUZUKI,XF273,5015,"ITDD cannot detect wrong use of connector color and tape.

Checker 931-932
Gray Connector (Actual)
White Connector also passed",Verify the ITDD on ECT,PE-BAE (ECT),,OPEN,,,,
545,32,SUZUKI,XF273,5015,"Option Process

For Confirmation to MPPD2
Tape Box installed is combined 
(2 Model: XF273 & XF271)","Separate combined tape box installed. 

Note: It must be separated based on OI. Not combine.",ME-NPI (MPPD),,OPEN,,,,
546,33,SUZUKI,XF273,5015,"Option Process
No Reference Jig
(Possible to encounter missing Option)
No Receiving Jig
(Possible to encounter wrong view of connector)",Check if can provide reference jig and receiving jig.,PE-BAE (ASSY DEV),Mhean,OPEN,,,,
547,34,SUZUKI,XF273,5015,No OI posted & Not updated OI posted,Attach and update OI,ME-NPI (MPPD),,OPEN,,,,
548,1,SUZUKI,Y6L FLOOR,5104,No upper limit on tupper box,Request to put line limit on identified tupper boxes.,PRODUCTION,K. Sangalang,OPEN,,,,
549,2,SUZUKI,Y6L FLOOR,5104,NG Wire Catcher,Repairing of wire catcher,PE-FABRICATION,,OPEN,,,,
550,11,SUZUKI,Y6L FLOOR,5104,Wrong position of tanmatsu (board no.10),Place the tanmatsu in the right position,PE-BAE (Maintenance),,OPEN,,,,
551,12,SUZUKI,Y6L FLOOR,5104,No E-bag,Wearing of E-Bag,PRODUCTION,K. Sangalang,OPEN,,,,
552,13,SUZUKI,Y6L FLOOR,5104,No workload division (Dimension inspection),Provide workload division,QA-Final ,,OPEN,,,,
553,3,SUZUKI,Y6L FLOOR,5104,Foreign  materials on wire catcher,Conduct 5'S,PRODUCTION,K. Sangalang,OPEN,,,,
554,4,SUZUKI,Y6L FLOOR,5104,Foreign materials inside tupperbox,Conduct 5'S,PRODUCTION,K. Sangalang,OPEN,,,,
555,5,SUZUKI,Y6L FLOOR,5104,For orient (operator not checking the condition of grommet),Conduct orientation regarding grommet fitting,PRODUCTION,K. Sangalang,OPEN,,,,
556,6,SUZUKI,Y6L FLOOR,5104,No running product label,Remind associate to awlays used product label,PRODUCTION,K. Sangalang,OPEN,,,,
557,8,SUZUKI,Y6L FLOOR,5104,For orient (3x slightly pulling of grommet),Conduct orientation regarding grommet fitting,PRODUCTION,K. Sangalang,OPEN,,,,
558,9,SUZUKI,Y6L FLOOR,5104,No label on parts,Provide label,PRODUCTION,K. Sangalang,OPEN,,,,
559,10,SUZUKI,Y6L FLOOR,5104,For arrangement of tupperbox,Arrangement of tupperbox,PRODUCTION,K. Sangalang,OPEN,,,,
560,11,SUZUKI,Y6L FLOOR,5104,Wrong position of tanmatsu (board no.10),,PE-BAE (Maintenance),,OPEN,,,,
561,12,SUZUKI,Y6L FLOOR,5104,No E-bag,Wearing of E-Bag,PRODUCTION,,OPEN,,,,
562,13,SUZUKI,Y6L FLOOR,5104,No workload division (Dimension inspection),Provide workload division,QA-Final ,,OPEN,,,,
563,14,SUZUKI,Y6L FLOOR,5104,'No pen holder on Inspection,Request for pen holder to avoid pen marks,PE-FABRICATION,,OPEN,,,,
564,15,SUZUKI,Y6L FLOOR,5104,Associate was not aware on rounds of taping in Option Process,For orient (rounds of taping on option process),PRODUCTION,,OPEN,,,,
565,15,SUZUKI,Y6L FLOOR,5104,Associate was not aware on rounds of taping in Option Process,For orient (rounds of taping on option process),PRODUCTION,,OPEN,,,,
566,16,SUZUKI,Y6L FLOOR,5104,'NG tape box on option process,Repair tape box on Option Process,PE-FABRICATION,,OPEN,,,,
567,17,SUZUKI,Y6L FLOOR,5104,"Appearance Inspection 

Associate was not aware on standard inspection of checking clamp and nameplate",For orient (checking of clamp and checking of nameplate on appearance process),QA-Final ,,OPEN,,,,
568,18,SUZUKI,Y6L FLOOR,5104,"Appearance Inspection

Associate was not aware on standard inspection of slightly pulling 3x of grommet",For orient (3x slightly pulling of grommet on appearance),QA-Final ,,OPEN,,,,
569,19,SUZUKI,Y6L FLOOR,5104,Associate was not aware on 1x using only of alignment checker jig,For orient (1x only using of alignment checker jig),QA-Final ,,OPEN,,,,
570,17,SUZUKI,Y6L FLOOR,5104,"Appearance Inspection 

Associate was not aware on standard inspection of checking clamp and nameplate",For orient (checking of clamp and checking of nameplate on appearance process),QA-Final ,,OPEN,,,,
571,18,SUZUKI,Y6L FLOOR,5104,"Appearance Inspection

Associate was not aware on standard inspection of slightly pulling 3x of grommet",For orient (3x slightly pulling of grommet on appearance),QA-Final ,,OPEN,,,,
572,19,SUZUKI,Y6L FLOOR,5104,Associate was not aware on 1x using only of alignment checker jig,For orient (1x only using of alignment checker jig),QA-Final ,,OPEN,,,,
573,20,SUZUKI,Y6L FLOOR,5104,Missing label and connector picture on tupperbox,Provide proper label and connector picture on tupperbox,PE-FABRICATION,,OPEN,,,,
574,5,SUZUKI,YV7 ENGINE,5105,No E-bag,Request to provide E-bag,PRODUCTION,K. Sangalang,OPEN,,,,
575,6,SUZUKI,YV7 ENGINE,5105,Missing tanmatsu jig,Request to provide tanmatsu jig,PE-BAE (Maintenance),,OPEN,,,,
576,7,SUZUKI,YV7 ENGINE,5105,Missing lockset,Request to provide lockset,PE-BAE (Maintenance),,OPEN,,,,
577,9,SUZUKI,YV7 ENGINE,5105,Damaged wire catcher on sub assy process,Request to repair damaged wire catcher on sub assy process,PE-FABRICATION,,OPEN,,,,
578,10,SUZUKI,YV7 ENGINE,5105,No wire catcher on sub hanger,Provide wire catcher on sub assy process,PE-FABRICATION,,OPEN,,,,
579,13,SUZUKI,YV7 ENGINE,5105,No running product label on Sub 02 and Sub 03,Provide running product label,PRODUCTION,K. Sangalang,OPEN,,,,
580,14,SUZUKI,YV7 ENGINE,5105,"For orient on bending frequency of 0.13, 0.22, 0.35, and 0.5 size of wire",Re-orient the associate regarding bending frequency.,PRODUCTION,K. Sangalang,OPEN,,,,
581,15,SUZUKI,YV7 ENGINE,5105,For orient on inspection standards and inspection methods ,Re-orient the associate regarding the standard inspection.,QA-Final ,,OPEN,,,,
582,16,SUZUKI,YV7 ENGINE,5105,'No OI posted & Not updated OI posted,Attach and update OI,ME-NPI (MPPD),,OPEN,,,,
583,2,SUZUKI,YSB INPANEL,5113,No sample connector picture,Request to provide sample connector picture,PE-FABRICATION,,OPEN,,,,
584,3,SUZUKI,YSB INPANEL,5113,NG Wire catchers on Sub Assy,Request to repair NG wire catchers,PE-FABRICATION,,OPEN,,,,
585,4,SUZUKI,YSB INPANEL,5113,'No provided vinyl cover on sub hanger.,Request to provide viny cover on sub hanger.,PE-FABRICATION,,OPEN,,,,
586,5,SUZUKI,YSB INPANEL,5113,NG rubber tanmatsu ,Request ame to change the rubber tanmatsu,PE-BAE (Maintenance),,OPEN,,,,
587,6,SUZUKI,YSB INPANEL,5113,'NG Parts box,Request to change NG parts box ,PE-FABRICATION,,OPEN,,,,
588,16,SUZUKI,YSB INPANEL,5113,No provided OI for item 113-A-E on shiage process.,Request to provide OI on shiage process.,ME-NPI (MPPD),,OPEN,,,,
589,17,SUZUKI,YSB INPANEL,5113,'Dirty vinyl cover on dimension process.,Request to clean dimension vinyl cover.,ME-Initial (Preparation),,OPEN,,,,
590,18,SUZUKI,YSB INPANEL,5113,"No reference picture connector for similar conn.18, 19, 45 and 44 on dimension process.",Request to provide picture of same connector on dimension inspection.,PE-FABRICATION,,OPEN,,,,
591,19,SUZUKI,YSB INPANEL,5113,'Loose jig on ECT.Detection jig for 1301-1302 and 1305-1306.,Request to repair all loose Jigs,PE-BAE (Maintenance),,OPEN,,,,
592,20,SUZUKI,YSB INPANEL,5113,Open circuit for conn.66 and 75.,Repair Open circuit,PE-BAE (ECT),,OPEN,,,,
593,21,SUZUKI,YSB INPANEL,5113,"'No tupper line limit for tupperbox of Through clamp on ECT inspection Cl-1E360-W,D",Request to  provide line limit.,PE-FABRICATION,,OPEN,,,,
594,22,SUZUKI,YSB INPANEL,5113,'No lock system on ECT,Request to provide lock system on ECT Board,PE-BAE (ECT),,OPEN,,,,
595,23,SUZUKI,YSB INPANEL,5113,Checker jig wings on ect process,Request to provide checker jig wings.,PE-BAE (ECT), J.C. Aycardo,OPEN,,,,
596,24,SUZUKI,YSB INPANEL,5113,"Jig for similar conn 16, 15, 38 and 39 need to provide color sensor on option process.",Request to provide color sensor for same connector on ect ,PE-EQ-FINAL,M. Bancoro,OPEN,,,,
597,25,SUZUKI,YSB INPANEL,5113,"NG condition and dirty checker jig no.66, 60, 52, 48, 13, 14, 45 and 38 on ECT inspection.",Request to check condition of checker jig.,PRODUCTION,A. De Guzman,OPEN,,,,
598,27,SUZUKI,YSB INPANEL,5113,NG Vinyl cover of option board,Request to change vinyl cover on option board,ME-Initial (Preparation),,OPEN,,,,
599,29,SUZUKI,YSB INPANEL,5113,"Not updated OI on option 103F-E, 104F-E, 106J-E, 108G-E, 109-E, 112G-E and 136A-E.",Request to update OI on option process.,ME-NPI (MPPD),,OPEN,,,,
600,30,SUZUKI,YSB INPANEL,5113,'No OI on option (160-E),Request to provide OI.,ME-NPI (MPPD),,OPEN,,,,
601,32,SUZUKI,YSB INPANEL,5113,Picture of similar connector on appearance table,Request to provide picture for similar connector,QA-Final ,G. Barameda,OPEN,,,,
602,33,SUZUKI,YSB INPANEL,5113,Provide holder for alignment jig.,Request to provide holder. ,PE-BAE (Maintenance),,OPEN,,,,
603,34,SUZUKI,YSB INPANEL,5113,'No good condition of alignment jig.,Request to PM alignment jig on appearance process.,PE-EQ-FINAL,,OPEN,,,,
604,35,SUZUKI,YSB INPANEL,5113,Associate is not using the wire catcher properly. Wire is not inside the catcher.,Re-orient the associate to use the wire catcher properly.,PRODUCTION,A. De Guzman,OPEN,,,,
605,36,SUZUKI,YSB INPANEL,5113,'Foreign materials on tupper box.,Conduct 5S,PRODUCTION,A. De Guzman,OPEN,,,,
606,37,SUZUKI,YSB INPANEL,5113,Checker jig wings on ect process,Re-orient associate on how to check the nameplate properly.,PRODUCTION,A. De Guzman,OPEN,,,,
607,38,SUZUKI,YSB INPANEL,5113,Actual color of YSOP vs. Actual color of connector is not the same.,Provide the correct color of YSOP,PE-BAE (Maintenance),,OPEN,,,,
608,39,SUZUKI,YSB INPANEL,5113,No YSOP on connector 16,Provide YSOP on jig of connector 16,PE-BAE (Maintenance),,OPEN,,,,
609,40,SUZUKI,YSB INPANEL,5113,Dirty wire catcher on Assy,Conduct 5S,PRODUCTION,A. De Guzman,OPEN,,,,
610,41,SUZUKI,YSB INPANEL,5113,Associate do not comply with standard work procedure (rounds of taping),Re-orient associate on no. of rounds on taping.,PRODUCTION,A. De Guzman,OPEN,,,,
611,42,SUZUKI,YSB INPANEL,5113,"No workload division on Inspection
(have a support inspector, providing only change point form)",Verify manpower allocation based on process design,PRODUCTION,A. De Guzman,OPEN,,,,
612,43,SUZUKI,YSB INPANEL,5113,Not pokayoke jigs (connector 18 & 19),Provide pokayoke jig,PE-BAE (Maintenance),,OPEN,,,,
613,7,SUZUKI,Y2R INPANEL,5103,No provided wire damaged prevention jig installed on assy jig (breaking jig) on all assyboards - different portions and branch,"1. Request to evaluate all jigs with missing protective cover.
2. Request to provide protective cover on jigs with missing cover. (other boards have cover on the same jig)",PE-BAE (Maintenance),,OPEN,,,,
614,9,SUZUKI,Y2R INPANEL,5103,NG Condition of Sub Hanger on Sub Assy,Repair sub hanger,PE-FABRICATION,,OPEN,,,,
615,10,SUZUKI,Y2R INPANEL,5103,Damaged wire catcher on Assy board.,Repair damaged wire catcher,PE-FABRICATION,,OPEN,,,,
616,11,SUZUKI,Y2R INPANEL,5103,No OI posted and not updated OI,Provide updated OI,ME-NPI (MPPD),,OPEN,,,,
617,12,SUZUKI,Y2R INPANEL,5103,Associate doesn't follow the standard way of locking retainer connector.,Re-orient associate on standard way of locking retainer connector.,PRODUCTION,,OPEN,,,,
618,13,SUZUKI,Y2R INPANEL,5103,"Toridashi jigs don't have spacer

Connector 66
Board 6, 7",Provide spacer on toridashi jigs,PE-BAE (Maintenance),,OPEN,,,,
619,14,SUZUKI,Y2R INPANEL,5103,Associate is not following the standard way of inserting shikakari on layout. It should be 10mm away from finger to the rear end of installation barrel.,Re-orient associate on standard way of inserting shikakari.,PRODUCTION,,OPEN,,,,
620,15,SUZUKI,Y2R INPANEL,5103,NG pulling strength on Sub01 and no sound on Sub02,Repair pulling strength,PE-EQ-FINAL,,OPEN,,,,
621,16,SUZUKI,Y2R INPANEL,5103,Foreign materials on wre catcher and damaged wire catcher,Conduct 5S,PRODUCTION,,OPEN,,,,
622,17,SUZUKI,Y2R INPANEL,5103,Excess connectors on Sub13,Re-orient associate to do not put connectors above the line limit.,PRODUCTION,,OPEN,,,,
623,18,SUZUKI,Y2R INPANEL,5103,"Worker is not aware what to do when there are parts left in component box and when there are falling parts (STOP, CALL, WAIT)",Re-orient associate on standard process on what to do when there are parts left on component box.,PRODUCTION,,OPEN,,,,
624,19,SUZUKI,Y2R INPANEL,5103,"Board 3 Connector 73 - wrong color of tanmatsu
same with Board 4 Connector 88",Provide the color color of YSOP/SPIN.,PE-BAE (Maintenance),,OPEN,,,,
625,20,SUZUKI,Y2R INPANEL,5103,Lacking spacer onn toridashi jigs,Provide spacer on toridashi jigs,PE-BAE (Maintenance),,OPEN,,,,
626,21,SUZUKI,Y2R INPANEL,5103,Workers are not fully aware about allowable bending frequency,Re-orient associate regarding allowable bending frequency.,PRODUCTION,,OPEN,,,,
627,22,SUZUKI,Y2R INPANEL,5103,No E-bag,Provide e-bag.,PRODUCTION,,OPEN,,,,
628,23,SUZUKI,Y2R INPANEL,5103,Worker is not doing the standard attachment of VS,Re-orient associate on standard process of attaching VS.,PRODUCTION,,OPEN,,,,
629,24,SUZUKI,Y2R INPANEL,5103,Worker is not fully aware about thigs to remember when attaching nameplate,Re-orient associate on standard way of checking nameplate.,QA-Final ,,OPEN,,,,
630,25,SUZUKI,Y2R INPANEL,5103,Inspector is not fully aware about the meaning of tolerance symbol on drawing,Re-orient associate on important points to check on inspection.,QA-Final ,,OPEN,,,,
631,26,SUZUKI,Y2R INPANEL,5103,Inspector is not fully aware about what to do if the harness is NG but no red tag,Re-orient associate on standard process on what to do if harness is NG but no red tag. ,QA-Final ,,OPEN,,,,
632,27,SUZUKI,Y2R INPANEL,5103,"There are exposed wires in ECT
NG wings, dirty checkers","Conduct 5S, repair NG wings.",PE-BAE (ECT),,OPEN,,,,
633,28,SUZUKI,Y2R INPANEL,5103,Worker performs overpull and over release in ECT,Re-orient associate to do not overpull and over release in ECT.,QA-Final ,,OPEN,,,,
634,29,SUZUKI,Y2R INPANEL,5103,No indication of workload division in appearance,Verify process design,PRODUCTION,,OPEN,,,,
635,7,SUZUKI,YT3 Floor,5136,Associate did not follow the grommet fixing method  ,Re-orient the associate  to follow the grommet fixing method that indicated on OI.,PRODUCTION,E. Cometa,OPEN,17-Jul-23,,,
636,10,SUZUKI,YT3 Floor,5136,50 mm rolling down fixing tape was not indicated on OI,Request to include on OI the 50 mm rolling down fixing tape,ME-NPI (MPPD),,OPEN,,,,
637,12,SUZUKI,YT3 Floor,5136,Request to arrange the sequence of tupper box on parts shelves base on the sequence of one set supply box,Re-arrange sequence of tupper box on component shelves,ME-Initial (Preparation),,OPEN,,,,
638,14,SUZUKI,YT3 Floor,5136,Associate does not understand the content of OI,Re-orient associate about OI content,PRODUCTION,E. Cometa,OPEN,17-Jul-23,,,
639,15,SUZUKI,YT3 Floor,5136,SOT need to revise,"Request for a follow up of the updated SOT

(On-going)",ME-NPI (MPPD),,OPEN,,,,
640,17,SUZUKI,YT3 Floor,5136,Jig height may affect the process and the existing dimensions ,Request for an immediate adjustment,PE-BAE (ASSY DEV),,OPEN,,,,
641,18,SUZUKI,YT3 Floor,5136,Missing spacer of toridashi jig on Board 8,Immediately request for toridashi jig spacer's completion ,PE-BAE (ASSY DEV),,OPEN,,,,
642,19,SUZUKI,YT3 Floor,5136,"Damaged tanmatsu on Board 4, Connectors 81 & 53",Request for the damaged tanmatsu's replacement ,PE-BAE (ASSY DEV),,OPEN,,,,
643,20,SUZUKI,YT3 Floor,5136,Lacking bendable jig covers,Request for bendable jig cover's completion,PE-BAE (Maintenance),,OPEN,,,,
644,21,SUZUKI,YT3 Floor,5136,"No SPIN on Board 13, Connector 33",Imemediately request for SPIN ,PE-BAE (Maintenance),,OPEN,,,,
645,26,SUZUKI,YT3 Floor,5136,No workload division on workload dimension,Workload division should be provided,QA-Final ,,OPEN,,,,
646,28,SUZUKI,YT3 Floor,5136,"Missing screw - DSL1-F, DSL4-F
Missing spring - DSTL-2FBPK (for confirmation)
Detached wing - DSL-BR, DSL-3F-TSN-JC",Request for the missing parts' completion,PE-BAE (ECT),,OPEN,,,,
647,30,SUZUKI,YT3 Floor,5136,NG tape box ,Request for improvement of tape box ,PE-FABRICATION,,OPEN,,,,
648,31,SUZUKI,YT3 Floor,5136,"Arrow is not included on optional jigs, cannot identify the required view",Include arrow on OI  due to required view,ME-NPI (MPPD),,OPEN,,,,
649,32,SUZUKI,YT3 Floor,5136,Associate did not fully comprehend the inspection standards and methods,Re-orient associate on inspection standards and method,QA-Final ,,OPEN,,,,
650,33,SUZUKI,YT3 Floor,5136,Not included in the inspection checksheet ,Request for inclusion of lever position and slider position inside the connector,QA-Final ,,OPEN,,,,
651,1,SUBARU,GC7/GX3,7111,Storage box must be higher than tsumesen area,Request to change the existing storage box,PE-FABRICATION,,,16-Aug-23,,,
652,2,SUBARU,GC7/GX3,7111,Appearance of connector did not check properly,Re-orient all tsumesen associate on proper  checking of connector,PRODUCTION,,,,,,
653,3,SUBARU,GC7/GX3,7111,No signatories of OI in tsumesen area,Request to provide OI with complete signatories,ME-NPI (MPPD),,,5-Aug-23,,,
654,4,SUBARU,GC7/GX3,7111,No upper line limit on the tupper box (Sub Assy),"
Request to provide upper limit line label",PE-FABRICATION,,,16-Aug-23,,,
655,5,SUBARU,GC7/GX3,7111,No good 5'S of wire catcher,Re-orient all members to conduct 5'S,PRODUCTION,,,,,,
656,6,SUBARU,GC7/GX3,7111,NG wire catcher on Sub assy,Request to repair/change the wire catcher,PE-FABRICATION,,,,,,
657,7,SUBARU,GC7/GX3,7111,No good stocking of connector,,PRODUCTION,,,,,,
658,9,SUBARU,GC7/GX3,7111,No grommet cover,Request to provide grommet cover,PE-FABRICATION,,,16-Aug-23,,,
659,11,SUBARU,GC7/GX3,7111,Lacking bendable jig cover, Request to provide bendable jig cover,PE-BAE (Maintenance),,,,,,
660,12,SUBARU,GC7/GX3,7111, Loose jig ,Request to repair all loose jig,PE-BAE (Maintenance),,,,,,
661,14,SUBARU,GC7/GX3,7111,Not wearing E-bag,Request to provide e-bag,PRODUCTION,,,,,,
662,15,SUBARU,GC7/GX3,7111,Wire bending must include in OI (Grommet),Request to include in OI,ME-NPI (MPPD),,,,,,
